review,rating,region,platform,language,label
Great product. Great service. Great everything.,5,West Bengal,Snapdeal,Bengali,Fake
Received the item in good condition. Works as expected.,1,Karnataka,Zomato,English,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,2,Tamil Nadu,Snapdeal,Tamil,Fake
Fits well and is comfortable for long periods of use.,4,Delhi,Amazon,Bengali,Legit
Decent product for the price. Packaging could be better though.,3,Tamil Nadu,Zomato,Telugu,Legit
Decent product for the price. Packaging could be better though.,1,Delhi,Flipkart,Bengali,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,5,West Bengal,Snapdeal,Tamil,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,2,Karnataka,Zomato,English,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,5,Karnataka,Snapdeal,English,Fake
Fits well and is comfortable for long periods of use.,1,West Bengal,Myntra,Hindi,Legit
Decent product for the price. Packaging could be better though.,3,West Bengal,Snapdeal,English,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,4,Tamil Nadu,Zomato,Hindi,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,1,Tamil Nadu,Snapdeal,Hindi,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,2,Karnataka,Flipkart,Hindi,Legit
OMG this is the best phone in the universe!!!!,1,Tamil Nadu,Myntra,Telugu,Fake
Decent product for the price. Packaging could be better though.,5,Tamil Nadu,Myntra,Bengali,Legit
Decent product for the price. Packaging could be better though.,5,Maharashtra,Flipkart,Hindi,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,5,Delhi,Zomato,Hindi,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,1,Maharashtra,Snapdeal,Hindi,Legit
Great product. Great service. Great everything.,5,Maharashtra,Myntra,English,Fake
Great product. Great service. Great everything.,5,Karnataka,Amazon,Tamil,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,1,West Bengal,Flipkart,Hindi,Fake
Decent product for the price. Packaging could be better though.,2,West Bengal,Zomato,Tamil,Legit
OMG this is the best phone in the universe!!!!,3,Karnataka,Flipkart,Bengali,Fake
Received the item in good condition. Works as expected.,4,Karnataka,Zomato,Bengali,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,5,Tamil Nadu,Flipkart,English,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,3,Maharashtra,Snapdeal,Bengali,Fake
Decent product for the price. Packaging could be better though.,2,Delhi,Snapdeal,Bengali,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,2,Tamil Nadu,Flipkart,Bengali,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,1,Karnataka,Myntra,Telugu,Legit
Decent product for the price. Packaging could be better though.,2,Delhi,Zomato,English,Legit
Decent product for the price. Packaging could be better though.,3,Tamil Nadu,Snapdeal,Telugu,Legit
Fits well and is comfortable for long periods of use.,3,Tamil Nadu,Flipkart,Bengali,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,4,Delhi,Zomato,Telugu,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,5,Delhi,Amazon,Telugu,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,5,Delhi,Amazon,Telugu,Legit
OMG this is the best phone in the universe!!!!,1,Karnataka,Snapdeal,English,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,3,Karnataka,Amazon,Telugu,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,1,Tamil Nadu,Amazon,Tamil,Fake
OMG this is the best phone in the universe!!!!,3,Tamil Nadu,Snapdeal,Telugu,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,3,Tamil Nadu,Snapdeal,Bengali,Fake
Fits well and is comfortable for long periods of use.,2,Tamil Nadu,Snapdeal,English,Legit
